identifier,title,date,language,collection,url,keywords
dr_historic-and-prophetic-diagram-of-the-world--gods-plan-of-salvation-for-l-13191004,"Historic and prophetic diagram of the world : God's plan of salvation for law breakers. (Text) The Story of the Ages from Creation to Redemption key to historic and prophetic diagram of the world ... By J. Elwin Woodward. Historic and Prophetic Publishing Company, Not Inc. Chicago, Ill., U.S.A. Copyrighted, 1912 by J. Elwin Woodward, London, England.",1912,[None],david-rumsey-map-collection,https://archive.org/download/dr_historic-and-prophetic-diagram-of-the-world--gods-plan-of-salvation-for-l-13191004/13191004.jpg,#pictorialmap #religions #datavisualization
dr_monialium-ebstorfensium-mappa-mundi--quae-exeunte-saeculo-xiii-videtur-pi-11458000,"Monialium Ebstorfensium mappa mundi : quae exeunte saeculo XIII. videtur picta, Hannoverae nunc adservatur, edidit Conradus Miller. Jos. Roth'sche Verlagshandlung, Stuttgart. Chromolith Kunstandstalt v. Eckstein & Stahle, Stuttgart. Editio altera 1898.",1898,[None],david-rumsey-map-collection,https://archive.org/download/dr_monialium-ebstorfensium-mappa-mundi--quae-exeunte-saeculo-xiii-videtur-pi-11458000/11458000.jpg,#datavisualization
dr_petroleum--asphalt-6920154,Petroleum & Asphalt.,1907,[None],david-rumsey-map-collection,https://archive.org/download/dr_petroleum--asphalt-6920154/6920154.jpg,#energy #datavisualization
dr_london-1899-1900-map-showing-places-of-religious-worship-public-elementa-10168000,"London, 1899-1900. Map showing Places of Religious Worship, Public Elementary Schools, and Houses Licensed for the Sale of Intoxicating Drinks.",1903,[None],david-rumsey-map-collection,https://archive.org/download/dr_london-1899-1900-map-showing-places-of-religious-worship-public-elementa-10168000/10168000.jpg,#datavisualization
dr_iron-and-steel-industry-to-accompany-ussr-soiuz-sovetskikh-sotsialistic-13675033,Iron and steel industry. (to accompany) USSR. Soiuz Sovetskikh Sotsialisticheskikh Respublik = Union of Soviet Socialist Republics. Scientific Publishing Institute of Pictorial Statistics.,1939,[None],david-rumsey-map-collection,https://archive.org/download/dr_iron-and-steel-industry-to-accompany-ussr-soiuz-sovetskikh-sotsialistic-13675033/13675033.jpg,#datavisualization #industry #energy
dr_page-2-adams-synchronological-chart-of-universal-history-through-the-ey-6000003,"(Page 2) Adams' Synchronological Chart of Universal History. Through the Eye to the Mind. A Chronological chart of Ancient, Modern and Biblical History, Synchronized by Sebastian C. Adams. Third Edition and Twelfth-Thousand carefully and critically revised and brought down to 1878. Colby & Co. Publishers, 39 Union Square, New York. The Strowbridge Lithographing Company, Cincinnati, O. Entered According to Act of Congress in the Year A.D. 1871, by S.C. Admas, in the Office of the Librarian of Congress at Washington, D.C. (On the title page) Adams' Synchronological Chart of Universal History...Through the Eye to the Mind.",1881,[None],david-rumsey-map-collection,https://archive.org/download/dr_page-2-adams-synchronological-chart-of-universal-history-through-the-ey-6000003/6000003.jpg,#historical #datavisualization
dr_page-9-adams-synchronological-chart-of-universal-history-through-the-ey-6000010,"(Page 9) Adams' Synchronological Chart of Universal History. Through the Eye to the Mind. A Chronological chart of Ancient, Modern and Biblical History, Synchronized by Sebastian C. Adams. Third Edition and Twelfth-Thousand carefully and critically revised and brought down to 1878. Colby & Co. Publishers, 39 Union Square, New York. The Strowbridge Lithographing Company, Cincinnati, O. Entered According to Act of Congress in the Year A.D. 1871, by S.C. Admas, in the Office of the Librarian of Congress at Washington, D.C. (On the title page) Adams' Synchronological Chart of Universal History...Through the Eye to the Mind.",1881,[None],david-rumsey-map-collection,https://archive.org/download/dr_page-9-adams-synchronological-chart-of-universal-history-through-the-ey-6000010/6000010.jpg,#historical #datavisualization
dr_the-scheme-of-the-state-organization-of-the-ussr-to-accompany-ussr-s-13675008,The scheme of the state organization of the U.S.S.R. (to accompany) USSR. Soiuz Sovetskikh Sotsialisticheskikh Respublik = Union of Soviet Socialist Republics. Scientific Publishing Institute of Pictorial Statistics.,1939,[None],david-rumsey-map-collection,https://archive.org/download/dr_the-scheme-of-the-state-organization-of-the-ussr-to-accompany-ussr-s-13675008/13675008.jpg,#datavisualization #political #statistical
dr_page-8-adams-synchronological-chart-of-universal-history-through-the-ey-6000009,"(Page 8) Adams' Synchronological Chart of Universal History. Through the Eye to the Mind. A Chronological chart of Ancient, Modern and Biblical History, Synchronized by Sebastian C. Adams. Third Edition and Twelfth-Thousand carefully and critically revised and brought down to 1878. Colby & Co. Publishers, 39 Union Square, New York. The Strowbridge Lithographing Company, Cincinnati, O. Entered According to Act of Congress in the Year A.D. 1871, by S.C. Admas, in the Office of the Librarian of Congress at Washington, D.C. (On the title page) Adams' Synchronological Chart of Universal History...Through the Eye to the Mind.",1881,[None],david-rumsey-map-collection,https://archive.org/download/dr_page-8-adams-synchronological-chart-of-universal-history-through-the-ey-6000009/6000009.jpg,#historical #datavisualization
dr_drawing-of-the-slave-ship-brookes-10927014,(Drawing of the slave ship 'Brookes'.),1808,[None],david-rumsey-map-collection,https://archive.org/download/dr_drawing-of-the-slave-ship-brookes-10927014/10927014.jpg,#datavisualization
dr_climatic-chart-of-the-world-showing-the-distribution-of-the-human-race-and-10096003,"Climatic Chart of the World, Showing the Distribution of the Human Race and the Animal and Vegetable Kingdoms",1893,[None],david-rumsey-map-collection,https://archive.org/download/dr_climatic-chart-of-the-world-showing-the-distribution-of-the-human-race-and-10096003/10096003.jpg,#school #pictorialmap #thematic #datavisualization
dr_arbre-geographique-contenant-les-etablissements-des-jesuites-par-toute-la-13025000,"Arbre Geographique, contenant Les Etablissements des Jesuites par toute la Terre et la Nombre des Sujets qui composen cette Societe, Tire d'un Catalogue envoye de Rome en 1762 ... Historire le la Companie de Jesus, par J. Cretineau Joly. Lith. Che. Villain, Paris.","['1762', '1844']",[None],david-rumsey-map-collection,https://archive.org/download/dr_arbre-geographique-contenant-les-etablissements-des-jesuites-par-toute-la-13025000/13025000.jpg,#datavisualization #religions #pictorialmap
dr_tableau-de-lhistoire-universelle-depuis-la-creation-jusqua-ce-jour-paris-3246001,"Tableau De L'Histoire Universelle depuis la Creation jusqu'a ce jour. Paris, Eug. Pick, Libraire-Editeur, Rue du Pont de Lodi, 5. Frault aine, imprimeur, Paris, rue des Noyers, 67. 1858",1858,[None],david-rumsey-map-collection,https://archive.org/download/dr_tableau-de-lhistoire-universelle-depuis-la-creation-jusqua-ce-jour-paris-3246001/3246001.jpg,#historical #datavisualization
dr_page-5-adams-synchronological-chart-of-universal-history-through-the-ey-6000006,"(Page 5) Adams' Synchronological Chart of Universal History. Through the Eye to the Mind. A Chronological chart of Ancient, Modern and Biblical History, Synchronized by Sebastian C. Adams. Third Edition and Twelfth-Thousand carefully and critically revised and brought down to 1878. Colby & Co. Publishers, 39 Union Square, New York. The Strowbridge Lithographing Company, Cincinnati, O. Entered According to Act of Congress in the Year A.D. 1871, by S.C. Admas, in the Office of the Librarian of Congress at Washington, D.C. (On the title page) Adams' Synchronological Chart of Universal History...Through the Eye to the Mind.",1881,[None],david-rumsey-map-collection,https://archive.org/download/dr_page-5-adams-synchronological-chart-of-universal-history-through-the-ey-6000006/6000006.jpg,#historical #datavisualization
dr_carte-ethnographique-de-la-macdoine-grecque-representant-la-repartition-et-10628000,Carte Ethnographique de la Macédoine Grecque Representant la Repartition Ethnique au mois d’août 1915.,1915,[None],david-rumsey-map-collection,https://archive.org/download/dr_carte-ethnographique-de-la-macdoine-grecque-representant-la-repartition-et-10628000/10628000.jpg,#pictorialmap #ethnography;nationality;race #datavisualization #ottomanmapping
dr_geological-chart-10096009,Geological Chart.,1893,[None],david-rumsey-map-collection,https://archive.org/download/dr_geological-chart-10096009/10096009.jpg,#school #pictorialmap #thematic #datavisualization
dr_mongolenreich-nach-1250-stdte-und-strassen-angefertigt-fr-das-bibliogra-14080012,"Mongolenreich nach 1250: Städte und Strassen. Angefertigt für das Bibliographische Institut AG., Leipzig. Gesellschafts- und Wirtschaftsmuseum in Wien. ©","['1250', '1930']",[None],david-rumsey-map-collection,https://archive.org/download/dr_mongolenreich-nach-1250-stdte-und-strassen-angefertigt-fr-das-bibliogra-14080012/14080012.jpg,#statistical #population #historical #datavisualization
dr_page-3-adams-synchronological-chart-of-universal-history-through-the-ey-6000004,"(Page 3) Adams' Synchronological Chart of Universal History. Through the Eye to the Mind. A Chronological chart of Ancient, Modern and Biblical History, Synchronized by Sebastian C. Adams. Third Edition and Twelfth-Thousand carefully and critically revised and brought down to 1878. Colby & Co. Publishers, 39 Union Square, New York. The Strowbridge Lithographing Company, Cincinnati, O. Entered According to Act of Congress in the Year A.D. 1871, by S.C. Admas, in the Office of the Librarian of Congress at Washington, D.C. (On the title page) Adams' Synchronological Chart of Universal History...Through the Eye to the Mind.",1881,[None],david-rumsey-map-collection,https://archive.org/download/dr_page-3-adams-synchronological-chart-of-universal-history-through-the-ey-6000004/6000004.jpg,#historical #datavisualization
dr_region-elementaire-ou-sublunaire-qui-comprend-les-corps-simpes-qui-sont-ele-11174000,"Region Elementaire ou Sublunaire qui Comprend Les Corps Simpes qui Sont Elements, divisez en Legers et Pesans: et Les Corps Mixtes, divisez en Imparfais, et les Parfais; Les Meteores et les Minereaux Sont les Imparfais, et les Parfais Sont les Plantes et les Animaux. Nouvelle edition revue, corrigee et augmentec par le Sieur Greg. Mariette Parisien, a Paris ... 1696.",1696,[None],david-rumsey-map-collection,https://archive.org/download/dr_region-elementaire-ou-sublunaire-qui-comprend-les-corps-simpes-qui-sont-ele-11174000/11174000.jpg,#celestial #pictorialmap #datavisualization
dr_nature-in-descending-regions-10096007,Nature in Descending Regions.,1893,[None],david-rumsey-map-collection,https://archive.org/download/dr_nature-in-descending-regions-10096007/10096007.jpg,#school #pictorialmap #thematic #datavisualization
dr_the-bedrock-geology-of-the-world-7065000,The Bedrock Geology of the World.,1985,[None],david-rumsey-map-collection,https://archive.org/download/dr_the-bedrock-geology-of-the-world-7065000/7065000.jpg,#geology #datavisualization
dr_comparative-view-of-the-principal-buildings-in-the-world-drawn--engraved-13033035,"Comparative view of the principal buildings in the world. Drawn & Engraved by John Emslie. London. Published by James Reynolds, 174, Strand. March 30, 1850. (to accompany) Reynolds introduction to natural philosophy.",1850,[None],david-rumsey-map-collection,https://archive.org/download/dr_comparative-view-of-the-principal-buildings-in-the-world-drawn--engraved-13033035/13033035.jpg,#pictorialmap #datavisualization
dr_principal-eminences-of-the-british-islands-drawn--engraved-by-john-emslie-13033033,"Principal eminences of the British Islands. Drawn & Engraved by John Emslie. London. Published by James Reynolds, 174, Strand. March 3, 1852. (to accompany) Reynolds introduction to natural philosophy.","['1852', '1850']",[None],david-rumsey-map-collection,https://archive.org/download/dr_principal-eminences-of-the-british-islands-drawn--engraved-by-john-emslie-13033033/13033033.jpg,#pictorialmap #datavisualization #mountains;rivers
dr_british-empire-at-a-glance-first-edition-14258001,British Empire at a glance. First edition.,1931,[None],david-rumsey-map-collection,https://archive.org/download/dr_british-empire-at-a-glance-first-edition-14258001/14258001.jpg,#datavisualization
dr_globe-with-figures-14336029,[Globe with figures].,1553,[None],david-rumsey-map-collection,https://archive.org/download/dr_globe-with-figures-14336029/14336029.jpg,#datavisualization
dr_carte-figurative-du-tonnage-des-chemins-de-fer-francais-en-1885-tonnage-o-12518012,Carte Figurative du Tonnage des Chemins de Fer Francais en 1885. (Tonnage of the French railroads in 1885.),"['1887', '1888']",[None],david-rumsey-map-collection,https://archive.org/download/dr_carte-figurative-du-tonnage-des-chemins-de-fer-francais-en-1885-tonnage-o-12518012/12518012.jpg,#railroad #datavisualization
dr_globe-with-zodiac-14336028,[Globe with zodiac].,1553,[None],david-rumsey-map-collection,https://archive.org/download/dr_globe-with-zodiac-14336028/14336028.jpg,#astronomy #datavisualization
dr_composite-map-descriptive-map-of-london-poverty-1889-to-accompany-labo-11486010,"(Composite map) Descriptive map of London poverty 1889. (to accompany) Labour and life of the people. Appendix to volume II. Edited by Charles Booth. William and Norgate, London; Edinburgh. 1891.","['1889', '1891']",[None],david-rumsey-map-collection,https://archive.org/download/dr_composite-map-descriptive-map-of-london-poverty-1889-to-accompany-labo-11486010/11486010.jpg,#datavisualization
dr_geographie-des-plantes-equinoxiales-tableau-physique-des-andes-et-pays-voi-11083000,"Geographie des Plantes Equinoxiales. Tableau Physique des Andes et Pays voisins, dresse d'apres des observations et des mesures prises sur les lieux depuis le 10(degree) degre de latitude boreale jusquau 10(degree) de latitude australe en 1799, 1800, 1801, 1802 et 1803. Par Alexandre de Humboldt et Aime Bonpland. Esquisse et redige par M. de Humboldt dessine par Schonberger et Turpin a paris en 1805, grave par Bouquet, la lettre par Beauble, imprime par Langlois.",1805,[None],david-rumsey-map-collection,https://archive.org/download/dr_geographie-des-plantes-equinoxiales-tableau-physique-des-andes-et-pays-voi-11083000/11083000.jpg,#vegetation #geology #mountains;rivers #datavisualization
dr_panorama-vom-inselsberg-nach-der-natur-aufgenommen-und-gestochen-von-p-ah-11287000,Panorama vom Inselsberg. Nach der natur aufgenommen und gestochen von P. Ahrens. Bibliographisches Institut in Hildburghausen.,1860,[None],david-rumsey-map-collection,https://archive.org/download/dr_panorama-vom-inselsberg-nach-der-natur-aufgenommen-und-gestochen-von-p-ah-11287000/11287000.jpg,#pictorialmap #datavisualization #panoramaround
dr_electronic-intelligence-general-dynamics-erik-nitsche-stromberg-carlson-11127000,Electronic-intelligence. General Dynamics. Erik Nitsche. Stromberg-Carlson.,1960,[None],david-rumsey-map-collection,https://archive.org/download/dr_electronic-intelligence-general-dynamics-erik-nitsche-stromberg-carlson-11127000/11127000.jpg,#pictorialmap #datavisualization
dr_le-cours-des-tems-ou-tableau-de-lhistoire-universelle-depuis-lantiquit-l-10948000,"Le Cours des Tems ou Tableau de l'Histoire Universelle depuis l'Antiquité la plus reculée jusqu' à nos jours D'Après la Carte Chronologique de Frederick Strauss, Professeur d'Histoire au corps royal des Cadets à Berlin. Terminé en 1822.",1826,[None],david-rumsey-map-collection,https://archive.org/download/dr_le-cours-des-tems-ou-tableau-de-lhistoire-universelle-depuis-lantiquit-l-10948000/10948000.jpg,#historical #datavisualization #pictorialmap
dr_chronology-delineated-to-illustrate-the-history-of-monarchical-revolution-8688000,Chronology Delineated to Illustrate the History of Monarchical Revolution.,1813,[None],david-rumsey-map-collection,https://archive.org/download/dr_chronology-delineated-to-illustrate-the-history-of-monarchical-revolution-8688000/8688000.jpg,#historical #pictorialmap #datavisualization
dr_carte-figurative-des-produits-nets-kilometriques-des-chemins-de-fer-francai-12522012,Carte Figurative des Produits Nets Kilometriques des Chemins de Fer Francais en 1890. (Net kilometric products of the French railroads in 1890.),1892,[None],david-rumsey-map-collection,https://archive.org/download/dr_carte-figurative-des-produits-nets-kilometriques-des-chemins-de-fer-francai-12522012/12522012.jpg,#transportation #railroad #datavisualization
dr_confiance--ses-amputations-se-poursuivent-methodiquement-be-reassured-9750000,"Confiance ... ses Amputations se Poursuivent Methodiquement (Be reassured, the amputations (of his tentacles) are proceeding methodically).",1942,[None],david-rumsey-map-collection,https://archive.org/download/dr_confiance--ses-amputations-se-poursuivent-methodiquement-be-reassured-9750000/9750000.jpg,#worldwarii #pictorialmap #military #datavisualization #satirical
dr_discus-chronologicus-in-quo-omnes-imperatores-et-reges-orbis-europaei-a-na-11176000,"Discus Chronologicus in quo Omnes Imperatores et Reges Orbis Europaei, a nato Christo ad praesens tempus, aequalibus seculorum intervallis, et diversis regnorum orbibus digesti ac distincti, in iusta successionis suae serie ita enumerantur et repraesentantur, ut quando quisque coeperit, quamdiu regnarit, quique eodem tempore simul diversis locis imperarint facillime cognosci possit, insertis etiam Romanis Pontificibus. Excudit Christoph Weigel. Norinbergae. Cum Privil. Sac. Caes. Majest.",1730,[None],david-rumsey-map-collection,https://archive.org/download/dr_discus-chronologicus-in-quo-omnes-imperatores-et-reges-orbis-europaei-a-na-11176000/11176000.jpg,#historical #pictorialmap #datavisualization
dr_descriptive-map-of-london-poverty-compiled-from-school-board-visitors-rep-10169000,"Descriptive Map of London Poverty, Compiled From School Board Visitors' Reports in 1887.",1889,[None],david-rumsey-map-collection,https://archive.org/download/dr_descriptive-map-of-london-poverty-compiled-from-school-board-visitors-rep-10169000/10169000.jpg,#datavisualization
dr_hor-diei-hor-noctis-14336065,Horæ diei. Horæ noctis.,1553,[None],david-rumsey-map-collection,https://archive.org/download/dr_hor-diei-hor-noctis-14336065/14336065.jpg,#astronomy #datavisualization
dr_the-tree-of-modern-art-planted-60-years-ago-8638000,"The Tree of Modern Art, Planted 60 Years Ago.",1940,[None],david-rumsey-map-collection,https://archive.org/download/dr_the-tree-of-modern-art-planted-60-years-ago-8638000/8638000.jpg,#pictorialmap #datavisualization
dr_staaten-und-bevlkerung-um-christi-geburt-angefertigt-fr-das-bibliographi-14080009,"Staaten und Bevölkerung um Christi Geburt. Angefertigt für das Bibliographische Institut AG., Leipzig. Gesellschafts- und Wirtschaftsmuseum in Wien. ©","['33 AD', '1930']",[None],david-rumsey-map-collection,https://archive.org/download/dr_staaten-und-bevlkerung-um-christi-geburt-angefertigt-fr-das-bibliographi-14080009/14080009.jpg,#statistical #population #historical #datavisualization
dr_heeresstrken-im-altertum-und-mittelalte--stehende-heere-kmpfende-heere-14080028,"Heeresstärken im Altertum und Mittelalte : Stehende Heere-Kämpfende Heere. Angefertigt für das Bibliographische Institut AG., Leipzig. Gesellschafts- und Wirtschaftsmuseum in Wien. ©","['1453', '1930']",[None],david-rumsey-map-collection,https://archive.org/download/dr_heeresstrken-im-altertum-und-mittelalte--stehende-heere-kmpfende-heere-14080028/14080028.jpg,#statistical #military #historical #datavisualization
dr_diagram-of-the-causes-of-mortality-in-the-army-in-the-east-10563002,Diagram of the Causes of Mortality in the Army in the East.,1859,[None],david-rumsey-map-collection,https://archive.org/download/dr_diagram-of-the-causes-of-mortality-in-the-army-in-the-east-10563002/10563002.jpg,#datavisualization #military
dr_view-of-nature-in-ascending-regions-10096008,View of Nature in Ascending Regions.,1893,[None],david-rumsey-map-collection,https://archive.org/download/dr_view-of-nature-in-ascending-regions-10096008/10096008.jpg,#school #pictorialmap #thematic #datavisualization #mountains;rivers
