identifier,title,date,language,collection,url,keywords
dr_tarakom-jamiat-dar-shahrestan-ha--1345--population-density-in-townships-13114075,Tarakom jamiat dar shahrestan ha ... 1345 = Population density in townships 1966-67 census. (to accompany) Atlas of Iran : white revolution = Atlas-i Enqelab-e Sefid-e Iran. Sahab G. D. I.,"['1967', '1972']",[None],david-rumsey-map-collection,https://archive.org/download/dr_tarakom-jamiat-dar-shahrestan-ha--1345--population-density-in-townships-13114075/13114075.jpg,#datavisualization #statistical #population
dr_locomotive-engine-drawn--engraved-by-john-emslie-published-septr-25th-13040000,"Locomotive engine. Drawn & Engraved by John Emslie. Published Septr. 25th. 1848 by James Reynolds, 174, Strand. London.",1848,[None],david-rumsey-map-collection,https://archive.org/download/dr_locomotive-engine-drawn--engraved-by-john-emslie-published-septr-25th-13040000/13040000.jpg,#pictorialmap #datavisualization
dr_panoramic-plan-of-the-principal-rivers-and-lakes-drawn-and-engraved-by-joh-3431006,Panoramic plan of the principal rivers and lakes. Drawn and engraved by John Emslie. London. Published by James Reynolds 174 Strand. (to accompany) Geological Diagrams.,1851,[None],david-rumsey-map-collection,https://archive.org/download/dr_panoramic-plan-of-the-principal-rivers-and-lakes-drawn-and-engraved-by-joh-3431006/3431006.jpg,#mountains;rivers #datavisualization
dr_map-of-china-compiled-by-john-a-diakoff-scientific-colaborator-of-the-fo-11337000,"Map of China. Compiled by John A. Diakoff, scientific colaborator of the former Russian Oriantalist's Society ; Drawn by Mr. G. Primakoff. Engraved by Mr. P. Sergeeff. Approved by: Department of Education of the Three Eastern Provinces, Institute of Oriental and Commercial Sciences and Pedagogical Institute, Harbin. Recommended for use in Middle and High Schools. Published by Northern Trading Co., Ltd. & Mr. V.F. Yan-hsiun. Printed by the Lithography of the ""Northern Trading Co., Ltd. Harbin. 1931. (insets) January Isotherms. (with) July Isotherms.",1931,[None],david-rumsey-map-collection,https://archive.org/download/dr_map-of-china-compiled-by-john-a-diakoff-scientific-colaborator-of-the-fo-11337000/11337000.jpg,#pictorialmap #datavisualization
dr_stream-of-time-or-chart-of-universal-history-from-the-original-german-of-1704000,"Stream Of Time, Or Chart Of Universal History, From The Original German Of Strass. Revised By D. Haskel. Published By J.H. Colton, No. 86 Cedar St. New York 1842.",1842,[None],david-rumsey-map-collection,https://archive.org/download/dr_stream-of-time-or-chart-of-universal-history-from-the-original-german-of-1704000/1704000.jpg,#pictorialmap #historical #datavisualization
dr_index-to-the-metropolitan-transportation-authority-revised-map-of-the-rap-9891002,"(Index to) The Metropolitan Transportation Authority revised map of the rapid transit facilities of New York City Transit Authority. New York City Transit Authority, 1972. (Cover title) New York Subway guide : New York City Transit Authority.",1972,[None],david-rumsey-map-collection,https://archive.org/download/dr_index-to-the-metropolitan-transportation-authority-revised-map-of-the-rap-9891002/9891002.jpg,#subway #pictorialmap #transit #datavisualization
dr_the-temple-of-time-invented-by-emma-willard-published-by-as-barnes--co-13233002,"The Temple of Time. Invented by Emma Willard. Published by A.S. Barnes & Co. New York. Entered according to act of Congress, 1846, by Emma Willard. Published by A.S. Barnes & Co. New York. (cover title) Willard's map of time : a companion to the Historic guide. By Emma Willard.",1846,[None],david-rumsey-map-collection,https://archive.org/download/dr_the-temple-of-time-invented-by-emma-willard-published-by-as-barnes--co-13233002/13233002.jpg,#datavisualization #ethnography;nationality;race
dr_the-story-map-of-flying--being-a-chronicle-of-mans-conquest-of-the-air--8053000,"The story map of flying : Being a chronicle of man's conquest of the air : Designed, pictured and published by Ernest Dudley Chase of Winchester, Massachusetts, U.S.A. Copyright, Ernest Dudley Chase Winchester, Mass., U.S.A.",1942,[None],david-rumsey-map-collection,https://archive.org/download/dr_the-story-map-of-flying--being-a-chronicle-of-mans-conquest-of-the-air--8053000/8053000.jpg,#airlines #pictorialmap #datavisualization
dr_text-page-to-appendix-2-14336066,(Text Page to) Appendix. (2),1553,[None],david-rumsey-map-collection,https://archive.org/download/dr_text-page-to-appendix-2-14336066/14336066.jpg,#astronomy #datavisualization
dr_natural-vegetation--alnabatat-altabieia-to-accompany-atlas-al-watani-li-13405035,Natural vegetation = Alnabatat altabieia. (to accompany) Atlas al-watani lil-Jamahiriyah al-ʻArabiyah al-Libiyah al-Shabiyah al-Ishtirakiyah = National atlas of the Socialist People's Libyan Arab Jamahiriya.,1978,[None],david-rumsey-map-collection,https://archive.org/download/dr_natural-vegetation--alnabatat-altabieia-to-accompany-atlas-al-watani-li-13405035/13405035.jpg,#datavisualization #phytogeography
